genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Tango;a00a180c;193950;16162;4489;0.2777;15148;0.9372
Rock;a00a200c;194550;16212;4714;0.2908;18945;1.1685
Christmas;a00a290b;195225;17747;3446;0.1941;11457;0.6455
;a00a3d0a;196725;19672;6060;0.3080;18551;0.9429
data;a00a440c;197250;16437;1463;0.0890;5761;0.3504
Oldies;a00a4d0c;197925;16493;4075;0.2470;14770;0.8954
Pop;a00a500c;198150;16512;4140;0.2507;15858;0.9603
Blues;a00a510c;198225;16518;1878;0.1137;6431;0.3893
Lydbok;a00a530c;198375;16531;4248;0.2569;12912;0.7810
Country;a00a560c;198600;16550;2243;0.1355;6851;0.4139
POP;a00a5a0c;198900;16575;1835;0.1107;6400;0.3861
Rock;a00a5b0c;198975;16581;1477;0.0890;4468;0.2694
Pop;a00a5e0c;199200;16600;2236;0.1346;6743;0.4062
Pop;a00a720c;200700;16725;2545;0.1522;8821;0.5274
Rap;a00a7b0c;201375;14383;6684;0.4646;21333;1.4831
Rock;a00a850b;202125;18375;2691;0.1464;8921;0.4854
Alternative;a00a8f0c;202875;16906;3922;0.2319;15472;0.9151
Rock;a00a910c;203025;16918;4145;0.2450;17760;1.0497
US;a00a930b;203175;18470;2102;0.1138;7276;0.3939
Indie;a00a9b0c;203775;16981;1522;0.0896;5038;0.2966
;a00aa50c;204525;17043;2958;0.1735;10223;0.5998
Japanese;a00aa60b;204600;18600;4853;0.2609;16037;0.8622
